class,group,points,inside,pct
cemetery,kdmp,83342,22,0.026
cemetery,kdmp_reweighted_to_minimarket_provinces,83342,,0.205
cemetery,osm_minimarket,10580,1,0.009
cemetery,osm_village_node,75845,17,0.022
farmland,kdmp,83342,2206,2.647
farmland,kdmp_reweighted_to_minimarket_provinces,83342,,3.399
farmland,osm_minimarket,10580,16,0.151
farmland,osm_village_node,75845,832,1.097
marketplace,kdmp,83342,16,0.019
marketplace,kdmp_reweighted_to_minimarket_provinces,83342,,0.075
marketplace,osm_minimarket,10580,43,0.406
marketplace,osm_village_node,75845,16,0.021
